,station,year,Date
0,sacheon,2024,2024-04-06
0,sacheon,2023,2023-03-31
0,sacheon,2022,2022-04-07
0,sacheon,2021,2021-03-30
0,sacheon,2020,2020-03-31
0,sacheon,2019,2019-04-02
