,station,year,Date
0,wanju,2024,2024-04-06
0,wanju,2023,2023-04-03
0,wanju,2022,2022-04-11
0,wanju,2021,2021-04-05
0,wanju,2020,2020-04-13
0,wanju,2019,2019-04-17
0,wanju,2018,2018-04-10
0,wanju,2017,2017-04-16
