,station,year,Date
0,yoengcheon,2024,2024-04-09
0,yoengcheon,2023,2023-04-05
0,yoengcheon,2022,2022-04-12
0,yoengcheon,2021,2021-04-08
0,yoengcheon,2020,2020-04-05
0,yoengcheon,2019,2019-04-11
0,yoengcheon,2018,2018-04-07
0,yoengcheon,2016,2016-04-11
0,yoengcheon,2014,2014-04-10
0,yoengcheon,2013,2013-04-12
0,yoengcheon,2012,2012-04-17
0,yoengcheon,2011,2011-04-19
