,station,year,Date
0,sangju,2024,2024-04-13
0,sangju,2023,2023-04-11
0,sangju,2019,2019-04-17
0,sangju,2014,2014-04-10
0,sangju,2013,2013-04-14
0,sangju,2012,2012-04-20
0,sangju,2011,2011-04-22
