station,year,Date
Ichen,2004,2004-04-23
Ichen,2005,2005-04-28
Ichen,2006,2006-05-01
Ichen,2007,2007-05-03
Ichen,2008,2008-04-23
Ichen,2009,2009-04-28
Ichen,2010,2010-05-07
Ichen,2011,2011-05-05
Ichen,2012,2012-04-30
Ichen,2013,2013-05-06
Ichen,2014,2014-04-21
Ichen,2015,2015-04-27
Ichen,2016,2016-04-23
Ichen,2017,2017-04-26
Ichen,2018,2018-04-22
Ichen,2019,2019-05-02
Ichen,2020,2020-04-30
Ichen,2021,2021-04-23
Ichen,2022,2022-04-23
Ichen,2023,2023-04-20
Ichen,2024,2024-04-21
