,station,year,Date
0,icheon,2024,2024-04-12
0,icheon,2023,2023-04-10
0,icheon,2022,2022-04-17
0,icheon,2021,2021-04-11
0,icheon,2020,2020-04-09
0,icheon,2019,2019-04-20
0,icheon,2017,2017-04-17
0,icheon,2016,2016-04-16
0,icheon,2014,2014-04-16
0,icheon,2013,2013-04-29
0,icheon,2012,2012-04-27
0,icheon,2011,2011-05-03
